mass(GeV),limit(cm2),-2sigma,-1sigma,median,+1sigma,+2sigma
9.0,5.46868e-41,2.75399e-41,4.18870e-41,6.95464e-41,1.35099e-40,2.06101e-40
11.0,1.49774e-41,8.45060e-42,1.33701e-41,2.34567e-41,4.35192e-41,6.72784e-41
13.0,6.00662e-42,3.87324e-42,6.58279e-42,1.17177e-41,2.11634e-41,3.27015e-41
16.0,2.31233e-42,1.92813e-42,3.39741e-42,6.35410e-42,1.16915e-41,1.78661e-41
17.0,1.96485e-42,1.62279e-42,2.86564e-42,5.62731e-42,1.02727e-41,1.56789e-41
19.0,1.44220e-42,1.32739e-42,2.24642e-42,4.57427e-42,8.27873e-42,1.28275e-41
21.0,1.20765e-42,1.08889e-42,1.93918e-42,3.87478e-42,7.18098e-42,1.10218e-41
23.0,1.11185e-42,1.01040e-42,1.80322e-42,3.60723e-42,6.52127e-42,9.86576e-42
26.0,1.04301e-42,9.10618e-43,1.66774e-42,3.30196e-42,5.91062e-42,9.02204e-42
29.0,9.72660e-43,8.05760e-43,1.48296e-42,3.05592e-42,5.54097e-42,8.46294e-42
30.0,1.01155e-42,7.84847e-43,1.51870e-42,3.09587e-42,5.52950e-42,8.29279e-42
32.0,1.09296e-42,7.74754e-43,1.42980e-42,3.01883e-42,5.42703e-42,8.37394e-42
36.0,1.27885e-42,7.75173e-43,1.46631e-42,2.99692e-42,5.30906e-42,8.26569e-42
40.0,1.48965e-42,7.36430e-43,1.42950e-42,3.05312e-42,5.41338e-42,8.24055e-42
43.0,1.64911e-42,7.33050e-43,1.41135e-42,3.04827e-42,5.46336e-42,8.50435e-42
46.0,1.83481e-42,7.55091e-43,1.44736e-42,3.05398e-42,5.54030e-42,8.38379e-42
55.0,2.34874e-42,7.93003e-43,1.54991e-42,3.33473e-42,5.92886e-42,9.00444e-42
65.0,2.88301e-42,8.43484e-43,1.62248e-42,3.57216e-42,6.38299e-42,9.64854e-42
78.0,3.59978e-42,9.56343e-43,1.85878e-42,3.94108e-42,7.07517e-42,1.04955e-41
91.0,4.22373e-42,1.01761e-42,2.02929e-42,4.34814e-42,7.82134e-42,1.19949e-41
110.0,5.07467e-42,1.20292e-42,2.31918e-42,5.04141e-42,9.19609e-42,1.41179e-41
129.0,5.98698e-42,1.31026e-42,2.67137e-42,5.72502e-42,1.01623e-41,1.60523e-41
155.0,7.44476e-42,1.52738e-42,3.11546e-42,6.76133e-42,1.20027e-41,1.86917e-41
182.0,8.62578e-42,1.78206e-42,3.57943e-42,7.75947e-42,1.38306e-41,2.13701e-41
219.0,1.02896e-41,2.12745e-42,4.26334e-42,9.24340e-42,1.65378e-41,2.53844e-41
256.0,1.21225e-41,2.39303e-42,4.83823e-42,1.04956e-41,1.89139e-41,2.97657e-41
308.0,1.45111e-41,2.93787e-42,5.87053e-42,1.26851e-41,2.31140e-41,3.49264e-41
361.0,1.71248e-41,3.33630e-42,6.68327e-42,1.45170e-41,2.59736e-41,4.02227e-41
434.0,2.08615e-41,3.99137e-42,8.18744e-42,1.76318e-41,3.20507e-41,4.88068e-41
508.0,2.43894e-41,4.93961e-42,9.50581e-42,2.05688e-41,3.65201e-41,5.66427e-41
612.0,2.96505e-41,5.50836e-42,1.16401e-41,2.43822e-41,4.42526e-41,6.70670e-41
716.0,3.35540e-41,6.52399e-42,1.29959e-41,2.89567e-41,5.17222e-41,7.99855e-41
862.0,4.11104e-41,7.88584e-42,1.63813e-41,3.43911e-41,6.22806e-41,9.66251e-41
1008.0,4.80463e-41,9.01030e-42,1.87502e-41,3.88573e-41,7.29971e-41,1.11333e-40
1214.0,5.70323e-41,1.08685e-41,2.16654e-41,4.85536e-41,8.80820e-41,1.31711e-40
1420.0,6.84485e-41,1.25302e-41,2.56370e-41,5.56112e-41,1.00805e-40,1.53910e-40
1710.0,8.05713e-41,1.52105e-41,3.01341e-41,6.80054e-41,1.23702e-40,1.86426e-40
2000.0,9.48790e-41,1.80251e-41,3.61319e-41,7.98697e-41,1.46419e-40,2.20553e-40
5000.0,2.35106e-40,4.46676e-41,9.08255e-41,1.95416e-40,3.55053e-40,5.38264e-40
10000.0,4.80959e-40,9.16740e-41,1.85475e-40,3.99652e-40,7.02666e-40,1.08298e-39
