mass,limit,-2sigma,-1sigma,median,+1sigma,+2sigma,-nucl.unc.,+nucl.unc
9.0,1.85577e-39,9.44071e-40,1.40550e-39,2.36324e-39,4.42164e-39,6.68486e-39,1.18769e-39,4.15692e-39
11.0,4.76391e-40,2.75947e-40,4.23686e-40,7.47007e-40,1.40915e-39,2.16588e-39,3.04890e-40,1.06712e-39
13.0,1.88839e-40,1.26219e-40,2.08806e-40,3.76504e-40,6.93999e-40,1.06235e-39,1.20857e-40,4.22999e-40
16.0,7.11459e-41,6.03498e-41,1.04458e-40,2.01670e-40,3.65516e-40,5.59140e-40,4.55334e-41,1.59367e-40
17.0,5.69855e-41,5.20339e-41,9.28324e-41,1.76329e-40,3.22822e-40,4.86245e-40,3.64707e-41,1.27648e-40
19.0,4.58359e-41,4.30123e-41,7.23970e-41,1.40546e-40,2.58954e-40,3.96506e-40,2.93350e-41,1.02672e-40
21.0,3.81449e-41,3.45925e-41,6.19808e-41,1.20232e-40,2.21839e-40,3.41080e-40,2.44127e-41,8.54446e-41
23.0,3.38926e-41,3.12787e-41,5.55633e-41,1.07103e-40,1.98366e-40,3.04995e-40,2.16913e-41,7.59194e-41
26.0,3.09554e-41,2.65305e-41,4.89420e-41,9.92070e-41,1.78461e-40,2.67298e-40,1.98115e-41,6.93401e-41
29.0,3.01559e-41,2.44969e-41,4.41786e-41,9.20252e-41,1.65314e-40,2.55714e-40,1.92998e-41,6.75492e-41
30.0,3.24022e-41,2.39230e-41,4.44505e-41,9.15400e-41,1.61600e-40,2.53263e-40,2.07374e-41,7.25809e-41
32.0,3.53061e-41,2.19403e-41,4.28364e-41,8.60238e-41,1.58647e-40,2.47721e-40,2.25959e-41,7.90857e-41
36.0,4.41028e-41,2.11912e-41,4.23322e-41,8.59004e-41,1.56256e-40,2.41551e-40,2.82258e-41,9.87903e-41
40.0,5.10920e-41,2.15602e-41,4.04997e-41,8.70143e-41,1.56084e-40,2.39269e-40,3.26989e-41,1.14446e-40
43.0,5.89302e-41,2.10138e-41,4.16851e-41,8.76629e-41,1.55938e-40,2.36164e-40,3.77153e-41,1.32004e-40
46.0,6.27246e-41,2.15012e-41,4.20458e-41,8.69181e-41,1.56560e-40,2.38107e-40,4.01437e-41,1.40503e-40
55.0,8.24238e-41,2.15452e-41,4.30259e-41,9.18425e-41,1.63750e-40,2.45577e-40,5.27512e-41,1.84629e-40
65.0,9.92584e-41,2.25329e-41,4.54448e-41,9.79460e-41,1.75997e-40,2.70098e-40,6.35254e-41,2.22339e-40
78.0,1.20674e-40,2.49330e-41,4.98905e-41,1.06470e-40,1.88351e-40,2.99131e-40,7.72314e-41,2.70310e-40
91.0,1.42619e-40,2.71177e-41,5.33523e-41,1.15374e-40,2.11675e-40,3.22392e-40,9.12762e-41,3.19467e-40
110.0,1.72410e-40,3.10356e-41,6.19462e-41,1.33442e-40,2.41941e-40,3.71028e-40,1.10342e-40,3.86198e-40
129.0,1.99974e-40,3.40178e-41,7.28056e-41,1.53779e-40,2.75001e-40,4.16628e-40,1.27983e-40,4.47942e-40
155.0,2.42196e-40,3.90615e-41,8.07157e-41,1.75722e-40,3.15123e-40,4.76189e-40,1.55005e-40,5.42519e-40
182.0,2.77214e-40,4.63586e-41,9.32795e-41,2.04193e-40,3.65112e-40,5.52734e-40,1.77417e-40,6.20959e-40
219.0,3.40929e-40,5.32613e-41,1.08413e-40,2.34447e-40,4.23969e-40,6.56519e-40,2.18195e-40,7.63681e-40
256.0,3.94050e-40,6.40113e-41,1.28453e-40,2.73847e-40,4.95564e-40,7.61006e-40,2.52192e-40,8.82672e-40
308.0,4.71974e-40,7.27594e-41,1.50057e-40,3.24362e-40,5.92855e-40,9.06391e-40,3.02063e-40,1.05722e-39
361.0,5.56066e-40,8.88999e-41,1.69621e-40,3.74936e-40,6.88862e-40,1.03254e-39,3.55882e-40,1.24559e-39
434.0,6.67045e-40,1.02444e-40,2.11177e-40,4.53695e-40,8.20183e-40,1.24090e-39,4.26909e-40,1.49418e-39
508.0,7.87272e-40,1.16447e-40,2.41828e-40,5.23166e-40,9.48230e-40,1.42838e-39,5.03854e-40,1.76349e-39
612.0,9.33331e-40,1.44861e-40,2.82120e-40,6.32541e-40,1.13339e-39,1.73062e-39,5.97332e-40,2.09066e-39
716.0,1.08521e-39,1.67778e-40,3.27029e-40,7.23799e-40,1.31441e-39,2.02055e-39,6.94534e-40,2.43087e-39
862.0,1.32646e-39,2.02969e-40,4.15709e-40,8.94070e-40,1.59606e-39,2.39374e-39,8.48934e-40,2.97127e-39
1008.0,1.54719e-39,2.33227e-40,4.67019e-40,1.01458e-39,1.84445e-39,2.80700e-39,9.90202e-40,3.46571e-39
1214.0,1.86948e-39,2.73283e-40,5.63944e-40,1.25566e-39,2.20100e-39,3.37135e-39,1.19647e-39,4.18764e-39
1420.0,2.15088e-39,3.19314e-40,6.57158e-40,1.42812e-39,2.60561e-39,3.94949e-39,1.37656e-39,4.81797e-39
1710.0,2.58864e-39,3.84215e-40,8.10520e-40,1.74402e-39,3.15352e-39,4.83168e-39,1.65673e-39,5.79855e-39
2000.0,3.05235e-39,4.58670e-40,9.30578e-40,2.00634e-39,3.67456e-39,5.53794e-39,1.95350e-39,6.83726e-39
5000.0,7.64103e-39,1.15464e-39,2.33472e-39,5.08548e-39,9.19692e-39,1.38053e-38,4.89026e-39,1.71159e-38
10000.0,1.51697e-38,2.28733e-39,4.60399e-39,1.01588e-38,1.80914e-38,2.74985e-38,9.70861e-39,3.39801e-38
