# PandaX-4T solar-reflected dark matter dm-electron scattering, Fdm=1
# Curve trace by Jelle, 2412.19970v2, figure 4, red line
# wimp_mass,cross_section
0.0202657e-03,9.75602e-39
0.0315809e-03,5.94238e-39
0.0496870e-03,4.15878e-39
0.0620293e-03,3.68642e-39
0.0774393e-03,3.47043e-39
0.123409e-03,3.45302e-39
0.192972e-03,3.87526e-39
0.397604e-03,5.13672e-39
1.22163e-03,9.49938e-39
2.00989e-03,1.46730e-38
2.71659e-03,2.04729e-38
3.49019e-03,2.86991e-38
4.31671e-03,4.02321e-38
6.31609e-03,6.41969e-38
10.2281e-03,9.96217e-38
