# Sensei dark-matter electron scattering limit "hidden", F_DM=1
# Curve trace by Jelle, arxiv 2312.13342v2, figure 2, top right
# wimp_mass,cross_section
1.52680e-03,4.82849e-34
1.87837e-03,6.40542e-35
2.29862e-03,1.29546e-35
2.45432e-03,9.18293e-36
2.70780e-03,5.02046e-36
3.31804e-03,1.98478e-36
3.91789e-03,1.20697e-36
5.08254e-03,6.50988e-37
6.25663e-03,4.74865e-37
7.27627e-03,4.04646e-37
8.13546e-03,3.83593e-37
9.64951e-03,3.25413e-37
20.4446e-03,3.47437e-37
48.7569e-03,5.17396e-37
208.663e-03,1.86219e-36
994.178e-03,8.07467e-36
