# mass,limit,-2sigma,-1sigma,median,1sigma,2sigma,-nucl.unc.,+nucl.unc.,median_3sigma_disco
9,3.5723335281428886e-40,2.093731900313459e-40,3.620913989981891e-40,8.249321475053066e-40,1.5128934748523473e-39,2.218575100891726e-39,1.0328273313825547e-38,3.2968870205295453e-40,1.6072988437453523e-39
11,1.0842762041258605e-40,5.818358750684832e-41,1.1022240035185055e-40,2.520197977595261e-40,4.41562911565365e-40,6.345713661886224e-40,2.4045343017736306e-39,9.555064478424131e-41,4.867422900483004e-40
13,4.888469407408583e-41,2.5800123338559877e-41,4.983574877120364e-41,1.1564626778020827e-40,2.1202767461656326e-40,3.0218397044195595e-40,9.661471622748264e-40,4.0095640042355043e-41,2.375549960096786e-40
16,2.610728651858171e-41,1.350352676192658e-41,2.665880079732697e-41,6.121241069158221e-41,1.0732419307914896e-40,1.5986478760437464e-40,4.199161593004566e-40,2.080081075269562e-41,1.226350388275758e-40
17,2.2629149586047365e-41,1.1679034207459556e-41,2.3389442847196953e-41,5.25164910707977e-41,9.274645339326414e-41,1.3649045994689063e-40,3.3229058672926107e-40,1.7938696634278472e-41,1.062934204752578e-40
19,1.7921748796738665e-41,9.111485930897148e-42,1.820905564211436e-41,4.119988679078867e-41,7.358423153379888e-41,1.0860628606914842e-40,2.591187721857497e-40,1.3777491519007473e-41,8.399539090366223e-41
21,1.5081548807504159e-41,7.166809002727507e-42,1.5295961654714095e-41,3.4363063439223757e-41,6.203666607862649e-41,9.061861589231441e-41,1.962271784794065e-40,1.0975949132428898e-41,7.191835813415756e-41
23,1.300824634834846e-41,6.050104149883294e-42,1.3268474303753698e-41,3.1266234365022816e-41,5.647108198260714e-41,8.140058825925359e-41,1.5690153639855623e-40,9.722765727222491e-42,6.398900392038044e-41
26,1.1962902159600065e-41,5.934033256109808e-42,1.2096238850867745e-41,2.7030097087666837e-41,4.868439210497287e-41,7.217844669035837e-41,1.2717833868121963e-40,8.333150380627215e-42,5.678528162430196e-41
29,1.0607607539011196e-41,5.141476903373321e-42,1.0941979137825524e-41,2.5052966423423965e-41,4.5359657080277376e-41,6.684882642839055e-41,1.11900963577819e-40,7.519516520935905e-42,5.274137240110584e-41
32,1.0231639397447364e-41,4.9690764129718324e-42,1.0640700896888565e-41,2.3850680892203583e-41,4.3239789486392067e-41,6.354010724740928e-41,1.006525720761581e-40,7.121488500527124e-42,5.026657933821692e-41
36,9.819552044357828e-42,4.8461685404100916e-42,1.0136497729654805e-41,2.3131281667879376e-41,4.126900736541901e-41,6.201790863441385e-41,9.044319098926507e-41,6.766390715122134e-42,4.875726922286559e-41
40,9.817724507739145e-42,4.7867953117282396e-42,1.0002020712039954e-41,2.2559378340934425e-41,4.1947610184774013e-41,6.223217214424332e-41,8.806665358603413e-41,6.577602366831065e-42,4.874510411286323e-41
43,9.923586965138234e-42,4.933967854040973e-42,1.0057810909950922e-41,2.365600587777482e-41,4.177657951705775e-41,6.174732116058785e-41,8.571803389742576e-41,6.811518853166645e-42,4.88475241830908e-41
46,1.0333162882471695e-41,4.846564474302811e-42,1.0518341386740623e-41,2.3735394876425625e-41,4.240721466222331e-41,6.297590507225767e-41,8.562229906204269e-41,7.037697053668861e-42,4.931474579367394e-41
65,1.1657011697765395e-41,5.0964483669700156e-42,1.1812715557018785e-41,2.706480743218354e-41,4.784140936866065e-41,7.137089809395408e-41,1.3322617710254246e-40,9.047599179135415e-42,5.634965542493113e-41
91,1.4625342161354974e-41,6.287321582050221e-42,1.4379935092093115e-41,3.4172539789515276e-41,5.936307122525179e-41,8.844082337557522e-41,1.9290608773548928e-40,1.3480509179582255e-41,6.868172505331001e-41
129,2.1833339459138402e-41,8.535054669620504e-42,1.9587842448508944e-41,4.3787617709149826e-41,7.831031718041614e-41,1.1568847641761678e-40,2.787351840421035e-40,2.0034908573210824e-41,9.051858996628737e-41
182,3.2120995713254245e-41,1.1653499073170022e-41,2.614211845735587e-41,5.736424616934315e-41,1.0363354849564072e-40,1.5575068942140991e-40,3.852481497987529e-40,2.8228384513377996e-41,1.2117400251125782e-40
256,4.441687124827767e-41,1.610946022263971e-41,3.4990110494395366e-41,7.96183176838763e-41,1.4242967656824892e-40,2.1168778387777663e-40,5.397574101670869e-40,4.0298090267166763e-41,1.645016494038974e-40
361,6.237697783203983e-41,2.1943714717257836e-41,4.733675296406776e-41,1.127428904189229e-40,1.9618883583358705e-40,2.9206122667870036e-40,7.775269673299505e-40,5.579953829964231e-41,2.2612961178685397e-40
508,9.018219520303284e-41,3.120670608560119e-41,6.800568439469071e-41,1.534955410061962e-40,2.748993242101707e-40,4.057739854648914e-40,1.0816699099308381e-39,8.196416284193186e-41,3.1637967739485664e-40
1008,1.7809026325700012e-40,6.178210616440383e-41,1.322770928266448e-40,2.9946010497547057e-40,5.393529834368422e-40,7.963275761704035e-40,2.1329861287642303e-39,1.605385843593777e-40,6.196412225302894e-40
2000,3.5571455193816383e-40,1.2129188812789505e-40,2.59934135948356e-40,5.865954653034966e-40,1.0485167760716524e-39,1.5756711525848463e-39,4.299048754066766e-39,3.2384986654100475e-40,1.2082255493117727e-39
5000,8.575067963308816e-40,3.052671270827764e-40,6.63832220716127e-40,1.4650643797731033e-39,2.6160717136959835e-39,3.9070925360177395e-39,1.0680192526976872e-38,7.890279832330701e-40,3.0342456462804665e-39
10000,1.755952792252412e-39,6.038940620470655e-40,1.299995092814629e-39,2.9247586875573423e-39,5.24338803242784e-39,7.765775641549749e-39,2.102767219573225e-38,1.5867676725255824e-39,6.068499958843526e-39
