# mass,limit,limit_unconstr,-2sigma,-1sigma,median,1sigma,2sigma,median_3sigma_disco
9,9.797484060822151e-47,6.360172460365096e-47,6.048606167873016e-47,9.893442198122728e-47,2.3145818978695027e-46,4.194714251898931e-46,6.208987087138066e-46,4.40806591887947e-46
11,2.6404553011944104e-47,1.8701390104493043e-47,1.4668916521102063e-47,2.6918785823219344e-47,6.086757004761322e-47,1.1040826054423953e-46,1.6262330084733883e-46,1.223210047579738e-46
13,1.2143606153767551e-47,7.865482270647447e-48,6.349722880519739e-48,1.2302559129454687e-47,2.828495679333201e-47,4.924628262308908e-47,7.376376970640113e-47,5.60645601807054e-47
16,5.856844288044662e-48,4.048247623143398e-48,2.939552273941582e-48,5.946384796102546e-48,1.40000267517354e-47,2.4672118233111775e-47,3.7146785808211216e-47,2.8047930866531153e-47
17,5.045161843317137e-48,3.380911324758511e-48,2.372342435271395e-48,5.16035714366596e-48,1.1916648052774437e-47,2.1087352871554742e-47,3.156239326479482e-47,2.403883883122198e-47
19,3.919409267394542e-48,2.4860846835481487e-48,1.9579085670265272e-48,3.965616220973367e-48,9.302541001003626e-48,1.6509184360336717e-47,2.469739802410441e-47,1.8837459711105122e-47
21,3.264671412324803e-48,1.97405947980569e-48,1.6446642309537584e-48,3.323728873181861e-48,7.629776555527764e-48,1.3745886244053102e-47,2.0579363976500567e-47,1.5897316772219757e-47
23,2.910809973414534e-48,1.6875655008991387e-48,1.388198086098923e-48,2.996213570149687e-48,6.860081746103876e-48,1.208340705478538e-47,1.8485837979688936e-47,1.4069556914646076e-47
26,2.5810717410182406e-48,1.40693648954944e-48,1.2895890381231673e-48,2.624831549595038e-48,6.096427774422581e-48,1.064602898282829e-47,1.6309150887888171e-47,1.2305328218712188e-47
29,2.4277055125156674e-48,1.2768077708783247e-48,1.1353477567166161e-48,2.4562102316699348e-48,5.601755116021929e-48,9.912336962513661e-48,1.4985345570517207e-47,1.148610127865671e-47
32,2.2931217929082963e-48,1.2578359159028432e-48,1.0791741586353313e-48,2.3339009812270167e-48,5.309316082917047e-48,9.460588314015946e-48,1.4255652332998049e-47,1.0956105766300616e-47
36,2.2122904331621182e-48,1.2048026298661685e-48,1.0413430743896979e-48,2.2666795304596937e-48,5.090681232958277e-48,9.27440911921791e-48,1.3746957151160644e-47,1.0714219400455744e-47
40,2.1816833824484827e-48,1.2241600842374894e-48,1.0343922912479032e-48,2.2464867009769235e-48,5.0587223537493065e-48,8.987337280871959e-48,1.3853719064038475e-47,1.0617376217763808e-47
43,2.217871458662707e-48,1.2677965776635033e-48,1.0897886446843622e-48,2.2483991280651468e-48,5.055364644860216e-48,9.188354660507748e-48,1.3950160690853623e-47,1.0642928750477521e-47
46,2.2681993499922688e-48,1.319606104386345e-48,1.0570195945594763e-48,2.3032285368214262e-48,5.1954036449868804e-48,9.28590178459593e-48,1.4029246977096138e-47,1.0788381790948551e-47
65,2.546041480288214e-48,1.8083215589752695e-48,1.2160842875189916e-48,2.5816453787544615e-48,5.992802958751586e-48,1.0681313676739283e-47,1.6256543545704663e-47,1.2387941905136282e-47
91,3.214860921122965e-48,2.4014647187226817e-48,1.4867353834743516e-48,3.309866160233171e-48,7.422458464315766e-48,1.3172503783042412e-47,2.0170849900045724e-47,1.5441766760162665e-47
129,4.208919881771564e-48,3.493040099638599e-48,1.9107273186768406e-48,4.313435146992405e-48,9.767779832306256e-48,1.7440438780969673e-47,2.6443911225181474e-47,2.0515058467201082e-47
182,5.533572054224652e-48,4.819135224075079e-48,2.549350955580449e-48,5.654047138734876e-48,1.3198015721888574e-47,2.372815458103765e-47,3.593638519780333e-47,2.7689176158123063e-47
256,8.153750896244134e-48,7.251921401221729e-48,3.4986914786089955e-48,8.249019845152288e-48,1.8325636140177053e-47,3.221795344715976e-47,4.910927822407369e-47,3.8191599823138155e-47
361,1.0969733548583377e-47,9.787025883789508e-48,5.157222312027698e-48,1.128688959698872e-47,2.5026197499670055e-47,4.464177661067317e-47,6.871267727900406e-47,5.272945272912351e-47
508,1.546307933183269e-47,1.4317111324481653e-47,7.094219706875709e-48,1.575147654507888e-47,3.458283462086202e-47,6.271633584988651e-47,9.606846430394522e-47,7.368551894569787e-47
1008,3.056000501431157e-47,2.786092050287613e-47,1.3810780025559867e-47,3.135231270709062e-47,6.833958871618215e-47,1.2107487584832586e-46,1.874095488915199e-46,1.44399629947039e-46
2000,5.732895978980354e-47,5.38102575807705e-47,2.7321027795671195e-47,5.937434002106777e-47,1.3394627139951759e-46,2.4144311800237557e-46,3.704861397809596e-46,2.8596906406277796e-46
5000,1.4448421055253768e-46,1.3370021192602822e-46,6.697000339773429e-47,1.4782897375478288e-46,3.3556730400544437e-46,6.086069411404099e-46,9.227400695280647e-46,7.082048951811102e-46
10000,2.93003225261514e-46,2.7701300636845517e-46,1.3362203439327053e-46,3.0008405080539785e-46,6.683686263656167e-46,1.2159498899422127e-45,1.8488843634379313e-45,1.4217307671255365e-45
