#mass,limit,-2sigma,-1sigma,median,1sigma,2sigma
9,9.742051328838763e-47,6.123143664144496e-47,9.789675029574538e-47,2.3136259066624127e-46,4.156369800384533e-46,6.215221699844721e-46
11,2.693060353012929e-47,1.467529881443338e-47,2.7323851407545445e-47,6.079154667935303e-47,1.0974460945445205e-46,1.6221804796278769e-46
13,1.2156336012231188e-47,6.233785230754538e-48,1.2250931519792955e-47,2.896278928563554e-47,4.980219717165925e-47,7.60968411941774e-47
16,5.99737979703916e-48,3.032196963412796e-48,6.092030301227648e-48,1.4180981445342192e-47,2.4884728428447316e-47,3.7328423414237444e-47
17,5.151017309674859e-48,2.595929923030712e-48,5.2116474444094684e-48,1.2174829593596683e-47,2.1423605432919722e-47,3.1715187240403313e-47
19,4.0634124929974535e-48,2.0036974586781693e-48,4.1605874752978306e-48,9.435630528164177e-48,1.673731782472726e-47,2.453222687593157e-47
21,3.5649332382874804e-48,1.7132585608497953e-48,3.5882797959223117e-48,8.148060512968152e-48,1.3777577904253985e-47,2.102970830273408e-47
23,2.931113868203343e-48,1.436752715599826e-48,3.019655217153038e-48,7.095573253044557e-48,1.2312775552179218e-47,1.8403294671890646e-47
26,2.770327972011509e-48,1.2674626065933515e-48,2.7975626925661264e-48,6.197139445660277e-48,1.0942797969526968e-47,1.6295042451934656e-47
29,2.4110964080814443e-48,1.1133162790845257e-48,2.4780174756746115e-48,5.533594365877425e-48,9.846823218920147e-48,1.483581990845455e-47
32,2.2483540072275364e-48,1.0122922379188579e-48,2.2890108081532644e-48,5.411786350589895e-48,9.464816567739783e-48,1.4189008212238936e-47
36,2.2591212094099768e-48,1.0284717500672084e-48,2.319954546759276e-48,5.200768222611449e-48,9.209361125122453e-48,1.3669951383745474e-47
40,2.237748956740072e-48,1.0062607002490067e-48,2.2842672040930255e-48,5.1816598998851047e-48,9.035650932354418e-48,1.4064240207124325e-47
43,2.220710814094703e-48,1.0220801846520688e-48,2.2885833189830502e-48,5.1756307493444287e-48,8.996183936350293e-48,1.4234079179286252e-47
46,2.2419687056693494e-48,1.0594472428140653e-48,2.316258538102104e-48,5.30930115328061e-48,9.028467651397897e-48,1.4177927200865438e-47
65,2.6090137112258982e-48,1.1789702888399349e-48,2.652922412415202e-48,6.111925014365196e-48,1.0727176841338703e-47,1.6231824598093045e-47
91,3.237163356189714e-48,1.5696200632056156e-48,3.320697879134151e-48,7.578995803584711e-48,1.334107754390703e-47,1.9707170824987192e-47
129,4.1689675063507366e-48,1.994027787555501e-48,4.285876104761841e-48,9.9852510807456e-48,1.7606512377918468e-47,2.6197666964809714e-47
182,5.776933169675432e-48,2.6839357878355785e-48,5.814105702695749e-48,1.3126908846639064e-47,2.344258257441475e-47,3.494738210453009e-47
256,7.695535623011021e-48,3.588742778471425e-48,7.822608947242704e-48,1.8239662966445567e-47,3.2146168814145995e-47,4.84222601828584e-47
361,1.0654483602289469e-47,5.091437810944188e-48,1.0920618212012002e-47,2.5731670670318543e-47,4.47312589142944e-47,6.5819676792056015e-47
508,1.5430989191545735e-47,7.143114515342794e-48,1.544307191710322e-47,3.6073292660103096e-47,6.361549132438758e-47,9.29498028146286e-47
1008,2.9736670449349375e-47,1.3827579904150562e-47,3.0584451729598025e-47,6.976940013698718e-47,1.2577460586112287e-46,1.841704351342762e-46
2000,5.902853914013862e-47,2.918479998450463e-47,6.049775696796169e-47,1.3568395529060735e-46,2.39721142500809e-46,3.6090729930602066e-46
5000,1.432384823012859e-46,6.818771375681854e-47,1.4824042931262419e-46,3.4393216793391377e-46,6.098236973332418e-46,8.944181683480789e-46
10000,2.862809008839747e-46,1.3165856376523836e-46,2.9276552478556666e-46,6.910861962516902e-46,1.2082188188371762e-45,1.7828205743958964e-45
