5.164e+0, 9.260e-44
5.178e+0, 8.415e-44
5.222e+0, 7.736e-44
5.237e+0, 7.080e-44
5.292e+0, 6.502e-44
5.364e+0, 5.868e-44
5.434e+0, 5.239e-44
5.479e+0, 4.753e-44
5.559e+0, 4.276e-44
5.634e+0, 3.809e-44
5.710e+0, 3.397e-44
5.787e+0, 3.038e-44
5.865e+0, 2.719e-44
5.951e+0, 2.436e-44
6.030e+0, 2.184e-44
6.104e+0, 1.977e-44
6.197e+0, 1.794e-44
6.311e+0, 1.636e-44
6.392e+0, 1.485e-44
6.487e+0, 1.361e-44
6.592e+0, 1.222e-44
6.684e+0, 1.108e-44
6.774e+0, 1.018e-44
6.860e+0, 9.325e-45
6.986e+0, 8.474e-45
7.084e+0, 7.692e-45
7.180e+0, 7.049e-45
7.277e+0, 6.438e-45
7.344e+0, 5.854e-45
7.426e+0, 5.320e-45
7.543e+0, 4.850e-45
7.675e+0, 4.450e-45
7.780e+0, 4.044e-45
7.886e+0, 3.693e-45
7.993e+0, 3.388e-45
8.100e+0, 3.105e-45
8.210e+0, 2.836e-45
8.335e+0, 2.586e-45
8.433e+0, 2.357e-45
8.547e+0, 2.146e-45
8.673e+0, 1.958e-45
8.818e+0, 1.749e-45
9.028e+0, 1.583e-45
9.088e+0, 1.447e-45
9.117e+0, 1.337e-45
9.320e+0, 1.237e-45
9.525e+0, 1.111e-45
9.755e+0, 9.686e-46
9.861e+0, 8.566e-46
1.016e+1, 7.716e-46
1.021e+1, 7.188e-46
1.050e+1, 6.415e-46
1.063e+1, 6.043e-46
1.074e+1, 5.511e-46
1.104e+1, 4.774e-46
1.125e+1, 4.349e-46
1.139e+1, 4.028e-46
1.149e+1, 3.645e-46
1.186e+1, 3.018e-46
1.208e+1, 2.780e-46
1.230e+1, 2.552e-46
1.258e+1, 2.314e-46
1.279e+1, 2.083e-46
1.302e+1, 1.887e-46
1.359e+1, 1.577e-46
1.432e+1, 1.181e-46
1.465e+1, 1.044e-46
1.494e+1, 9.402e-47
1.520e+1, 8.603e-47
1.554e+1, 7.940e-47
1.602e+1, 7.216e-47
1.654e+1, 6.488e-47
1.706e+1, 5.857e-47
1.753e+1, 5.731e-47
1.767e+1, 5.241e-47
1.825e+1, 4.712e-47
1.883e+1, 4.254e-47
1.934e+1, 4.163e-47
1.950e+1, 3.806e-47
2.023e+1, 3.450e-47
2.106e+1, 3.259e-47
2.162e+1, 3.055e-47
2.243e+1, 2.914e-47
2.343e+1, 2.730e-47
2.427e+1, 2.572e-47
2.530e+1, 2.465e-47
2.597e+1, 2.308e-47
2.705e+1, 2.221e-47
2.777e+1, 2.079e-47
2.893e+1, 2.006e-47
2.970e+1, 1.879e-47
3.101e+1, 1.830e-47
3.257e+1, 1.769e-47
3.427e+1, 1.697e-47
3.606e+1, 1.669e-47
3.780e+1, 1.615e-47
3.958e+1, 1.579e-47
4.172e+1, 1.594e-47
4.382e+1, 1.603e-47
4.603e+1, 1.623e-47
4.835e+1, 1.643e-47
5.079e+1, 1.658e-47
5.335e+1, 1.679e-47
5.603e+1, 1.698e-47
5.886e+1, 1.723e-47
6.182e+1, 1.756e-47
6.503e+1, 1.802e-47
6.821e+1, 1.878e-47
7.165e+1, 1.957e-47
7.534e+1, 2.031e-47
7.905e+1, 2.116e-47
8.303e+1, 2.208e-47
8.722e+1, 2.306e-47
9.125e+1, 2.417e-47
9.623e+1, 2.581e-47
1.011e+2, 2.688e-47
1.062e+2, 2.782e-47
1.115e+2, 2.864e-47
1.171e+2, 2.956e-47
1.233e+2, 3.029e-47
1.294e+2, 3.106e-47
1.358e+2, 3.208e-47
1.426e+2, 3.311e-47
1.501e+2, 3.424e-47
1.574e+2, 3.544e-47
1.653e+2, 3.673e-47
1.735e+2, 3.814e-47
1.821e+2, 3.960e-47
1.915e+2, 4.116e-47
2.014e+2, 4.278e-47
2.114e+2, 4.442e-47
2.220e+2, 4.620e-47
2.332e+2, 4.788e-47
2.452e+2, 4.971e-47
2.572e+2, 5.205e-47
2.702e+2, 5.495e-47
2.838e+2, 5.803e-47
2.981e+2, 6.127e-47
3.131e+2, 6.471e-47
3.289e+2, 6.834e-47
3.455e+2, 7.214e-47
3.622e+2, 7.622e-47
3.828e+2, 8.205e-47
3.991e+2, 8.736e-47
4.206e+2, 9.368e-47
4.417e+2, 9.765e-47
4.640e+2, 1.025e-46
4.874e+2, 1.073e-46
5.119e+2, 1.120e-46
5.377e+2, 1.173e-46
5.648e+2, 1.234e-46
5.933e+2, 1.305e-46
6.232e+2, 1.373e-46
6.546e+2, 1.448e-46
6.876e+2, 1.514e-46
7.222e+2, 1.580e-46
7.608e+2, 1.633e-46
7.998e+2, 1.702e-46
8.370e+2, 1.767e-46
8.792e+2, 1.856e-46
9.235e+2, 1.949e-46
9.700e+2, 2.045e-46
1.019e+3, 2.148e-46
1.070e+3, 2.256e-46
1.123e+3, 2.368e-46
1.183e+3, 2.495e-46
1.240e+3, 2.611e-46
1.302e+3, 2.744e-46
1.368e+3, 2.881e-46
1.437e+3, 3.027e-46
1.510e+3, 3.177e-46
1.586e+3, 3.337e-46
1.666e+3, 3.502e-46
1.750e+3, 3.679e-46
1.838e+3, 3.864e-46
1.931e+3, 4.057e-46
2.028e+3, 4.262e-46
2.131e+3, 4.530e-46
2.236e+3, 4.728e-46
2.341e+3, 4.961e-46
2.479e+3, 5.256e-46
2.598e+3, 5.472e-46
2.724e+3, 5.715e-46
2.861e+3, 5.998e-46
3.005e+3, 6.301e-46
3.156e+3, 6.618e-46
3.315e+3, 6.950e-46
3.483e+3, 7.298e-46
3.658e+3, 7.664e-46
3.842e+3, 8.044e-46
4.036e+3, 8.449e-46
4.239e+3, 8.871e-46
4.453e+3, 9.314e-46
4.677e+3, 9.787e-46
4.913e+3, 1.027e-45
5.161e+3, 1.079e-45
5.421e+3, 1.133e-45
5.704e+3, 1.196e-45
5.987e+3, 1.252e-45
6.282e+3, 1.312e-45
6.599e+3, 1.378e-45
6.931e+3, 1.447e-45
7.280e+3, 1.519e-45
7.647e+3, 1.595e-45
8.033e+3, 1.676e-45
8.437e+3, 1.760e-45
8.853e+3, 1.850e-45
9.324e+3, 1.948e-45
9.648e+3, 2.011e-45
