#mass,cross_section
7, 1.972e-40
8, 1.745e-41
9, 3.99605e-42
10, 1.44657e-42
11, 6.88567e-43
12, 3.92483e-43
13, 2.53937e-43
14, 1.80041e-43
15, 1.36651e-43
20, 6.34288e-44
25, 4.82693e-44
30, 4.46491e-44
35, 4.47831e-44
40, 4.64848e-44
45, 4.90415e-44
50, 5.1984e-44
55, 5.5259e-44
60, 5.87403e-44
65, 6.23234e-44
70, 6.60628e-44
75, 6.98284e-44
80, 7.35992e-44
85, 7.74999e-44
90, 8.13749e-44
95, 8.53623e-44
100, 8.92889e-44
110, 9.72357e-44
120, 1.05306e-43
130, 1.1331e-43
140, 1.21468e-43
150, 1.29606e-43
160, 1.37771e-43
170, 1.459e-43
180, 1.5407e-43
190, 1.62236e-43
200, 1.7051e-43
210, 1.78694e-43
220, 1.86914e-43
230, 1.95139e-43
240, 2.03334e-43
250, 2.11671e-43
260, 2.19926e-43
270, 2.28064e-43
280, 2.36274e-43
290, 2.44543e-43
300, 2.52858e-43
310, 2.61202e-43
320, 2.693e-43
330, 2.77648e-43
340, 2.85977e-43
350, 2.94271e-43
360, 3.0251e-43
370, 3.10678e-43
380, 3.19066e-43
390, 3.27043e-43
400, 3.35546e-43
410, 3.43599e-43
420, 3.51846e-43
430, 3.6029e-43
440, 3.68576e-43
450, 3.76685e-43
460, 3.84972e-43
470, 3.93442e-43
480, 4.01704e-43
490, 4.09738e-43
500, 4.18342e-43
510, 4.26291e-43
520, 4.34817e-43
530, 4.43078e-43
540, 4.51497e-43
550, 4.59624e-43
560, 4.67897e-43
570, 4.76319e-43
580, 4.84417e-43
590, 4.92652e-43
600, 5.01027e-43
610, 5.09043e-43
620, 5.17697e-43
630, 5.2598e-43
640, 5.3387e-43
650, 5.42412e-43
660, 5.50548e-43
670, 5.58806e-43
680, 5.67188e-43
690, 5.75696e-43
700, 5.83756e-43
710, 5.91928e-43
720, 6.00215e-43
730, 6.08618e-43
740, 6.17139e-43
750, 6.25162e-43
760, 6.33289e-43
770, 6.41522e-43
780, 6.49861e-43
790, 6.5831e-43
800, 6.66868e-43
810, 6.7487e-43
820, 6.82968e-43
830, 6.91164e-43
840, 6.99458e-43
850, 7.07852e-43
860, 7.16346e-43
870, 7.24942e-43
880, 7.32916e-43
890, 7.40978e-43
900, 7.49129e-43
910, 7.58119e-43
920, 7.657e-43
930, 7.74123e-43
940, 7.82638e-43
950, 7.91247e-43
960, 7.99159e-43
970, 8.07151e-43
980, 8.1603e-43
990, 8.2419e-43
1000, 8.32432e-43
