#mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
2.73,9.288431945297945e-40,165.30120974988552,270.7387555010616,16,25.322625811914467,4.594364393939709,3.7272835762603256,0.5543403529589045
2.75,6.319272619037612e-40,165.30120974988552,270.7387555010616,16,25.31054023449023,4.584933967767895,3.7272835762603256,0.5543403529589045
2.8,2.8374278176528737e-40,165.30120974988552,270.7387555010616,16,25.2803988143393,4.561414492655615,3.7272835762603256,0.5543403529589045
3.0,3.622317320468634e-41,165.30120974988552,270.7387555010616,16,25.161265671205943,4.468454407134025,3.7272835762603256,0.5543403529589045
3.2,1.0093733554860686e-41,165.30120974988552,270.7387555010616,16,25.04498452181428,4.377719744153645,3.7272835762603256,0.5543403529589045
3.5,2.7078662672268523e-42,165.30120974988552,270.7387555010616,16,24.875094299653934,4.245153699424776,3.7272835762603256,0.5543403529589045
3.7,1.4053651850630283e-42,165.30120974988552,270.7387555010616,16,24.76394374765601,4.158422462862555,3.7272835762603256,0.5543403529589045
4.0,6.436687726874196e-43,165.30120974988552,270.7387555010616,16,24.59979834531198,4.0303391248547955,3.7272835762603256,0.5543403529589045
4.2,4.211830689805871e-43,165.30120974988552,270.7387555010616,16,24.492227447881007,3.946401107592679,3.7272835762603256,0.5543403529589045
4.5,2.474834496249611e-43,165.30120974988552,270.7387555010616,16,24.334306468175587,3.8231747123767255,3.7272835762603256,0.5543403529589045
4.7,1.8331569741040645e-43,165.30120974988552,270.7387555010616,16,24.231768714956893,3.743164078411232,3.7272835762603256,0.5543403529589045
5.0,1.2449770113903172e-43,165.30120974988552,270.7387555010616,16,24.082797992115154,3.626921605734424,3.7272835762603256,0.5543403529589045
5.2,9.956897569635043e-44,165.30120974988552,270.7387555010616,16,23.987059523557317,3.5522164817801207,3.7272835762603256,0.5543403529589045
5.5,7.426357511849603e-44,165.30120974988552,270.7387555010616,16,23.849285121108306,3.4447105443265125,3.7272835762603256,0.5543403529589045
5.7,6.016687556292615e-44,165.30120974988552,275.5516940086626,16,23.510967301974876,3.347983554282462,3.9898953757323463,0.5919936219785195
6.0,4.782726128564601e-44,165.30120974988552,275.5516940086626,16,23.38521870335094,3.2498614014134186,3.9898953757323463,0.5919936219785195
6.5,3.477937573119966e-44,165.30120974988552,275.5516940086626,16,23.192589472888365,3.099552014228731,3.9898953757323463,0.5919936219785195
7.0,2.691740336516105e-44,165.30120974988552,275.5516940086626,16,23.02084829456085,2.9655416607284235,3.9898953757323463,0.5919936219785195
7.3,2.363384224288673e-44,165.30120974988552,275.5516940086626,16,22.927434417128453,2.8926504248672242,3.9898953757323463,0.5919936219785195
7.5,2.1851572197470986e-44,165.30120974988552,275.5516940086626,16,22.86899635381778,2.84705096177747,3.9898953757323463,0.5919936219785195
7.6,9.507393484521254e-45,193.70906508268575,459.33563454211895,11,14.124055020716842,1.84459360106666,5.884466297376752,0.8165550139952975
8.0,8.1219703397232e-45,197.15264233073208,475.81206778533954,11,14.193932213832673,1.798744138868319,5.7247676190859815,0.792316398905254
9.0,5.2256942123689425e-45,197.15264233073208,538.2748042857424,11,13.632344558861003,1.6060950206368403,6.0944035302521335,0.8351847755994659
10.0,3.885103704278721e-45,197.15264233073208,557.5827965519259,11,13.345844784016837,1.4597011608388297,6.21079820904279,0.8488449236788792
12.0,2.7031851636518364e-45,197.15264233073208,567.4949781593724,11,13.173725726252577,1.3489545763198356,6.244847576228808,0.851855156192743
14.0,2.0695870834515447e-45,200.65743625058573,577.5833691922647,10,12.215313584879452,1.3141000575583452,5.911273741597142,0.8082852038916825
17.0,1.8196170967935105e-45,200.65743625058573,577.5833691922647,10,12.354921026631837,1.423036323180294,5.911273741597142,0.8082852038916825
17.25,1.80950847021514e-45,200.65743625058573,577.5833691922647,10,12.36556866306792,1.431344718037238,5.911273741597142,0.8082852038916825
17.35,5.666378567261858e-46,306.28027428603536,1148.3342103544805,3,4.486929376084358,0.4924793265134559,3.5629756082773723,0.5758521811025108
18.0,5.241653849747817e-46,306.28027428603536,1189.5251185597012,3,4.402562622762857,0.48848561328009127,3.6609306161104005,0.5904488656691069
19.0,4.95908271902956e-46,306.28027428603536,1189.5251185597012,3,4.417511824785667,0.5001505375989629,3.6609306161104005,0.5904488656691069
20.0,4.777418769166447e-46,311.72503642768623,1210.6713753572515,3,4.444175856229458,0.5119057162032824,3.6482000408658526,0.5895660207061757
30.0,4.123409777894107e-46,311.72503642768623,1232.1935503843301,3,4.5030994348840245,0.5891906387418749,3.698523671991759,0.5975271489061248
35.0,4.331329363201274e-46,317.2665904206839,1254.0983263610337,3,4.63600773180098,0.6264828566701559,3.601878723196064,0.5885313718673295
40.0,4.561705661798635e-46,317.2665904206839,1254.0983263610337,3,4.659736817985191,0.6449987610022047,3.601878723196064,0.5885313718673295
50.0,5.165179476412952e-46,317.2665904206839,1254.0983263610337,3,4.6905171914968165,0.6690168140709812,3.601878723196064,0.5885313718673295
80.0,7.373854045315929e-46,317.2665904206839,1254.0983263610337,3,4.72913691271208,0.6991519426554119,3.601878723196064,0.5885313718673295
100.0,8.954906413132362e-46,317.2665904206839,1254.0983263610337,3,4.7395929439102185,0.7073108271507808,3.601878723196064,0.5885313718673295
